study,family,centroid
Manitoba,Unclassified_Bacteria,-0.5768636513690635
Manitoba,Unclassified_Bacteroidales,1.0203979164961692
Manitoba,Unclassified_Bacteroidetes VC2.1 Bac22,-1.4981884647398815
Manitoba,Unclassified_Bacteroidia,-1.131843601412977
Manitoba,Unclassified_Bradymonadales,-1.3341457509601908
Manitoba,Unclassified_Clostridia,-0.19172408990398537
Manitoba,Unclassified_Clostridia UCG-014,0.5010868812049613
Manitoba,Unclassified_Clostridia vadinBB60 group,0.5222963521511037
Manitoba,Unclassified_Coriobacteriales,-1.4955346357351873
Manitoba,Unclassified_Gammaproteobacteria,-1.3921272584906563
Manitoba,Unclassified_Izemoplasmatales,-1.2503382177014346
Manitoba,Unclassified_Microtrichales,-1.3313217414318164
Manitoba,Unclassified_Oscillospirales,-0.056659748516115715
Manitoba,Unclassified_Pseudomonadales,-1.1362055417333683
Manitoba,Unclassified_Pseudomonadota,-1.4065036386394871
Manitoba,Unclassified_RF39,-0.9426741411668463
Manitoba,Unclassified_Rhodospirillales,-0.6131121868942226
Manitoba,Unclassified_Saccharimonadales,-1.5965040180068775
Manitoba,Unclassified_Veillonellales-Selenomonadales,-1.1980723503424442
Manitoba,Unclassified_WCHB1-41,-1.7404484066239683
Manitoba,Veillonellaceae,-1.0395761262618908
Manitoba,Weeksellaceae,1.258740808929977
Manitoba,Wohlfahrtiimonadaceae,-0.8341345612275589
Manitoba,Xanthobacteraceae,-1.2460222472547449
